page,title,category,id,url,day,cover_url,short_text
56,Dr. Trolley's Problem,,510543,https://werocreative.itch.io/dr-trolleys-problem,27,https://img.itch.zone/aW1nLzI5MzkwMDAucG5n/315x250%23c/2kTo0B.png,Test your morals in the trolley problem
55,Don't Move,,496,https://stvr.itch.io/dont-move,28,https://img.itch.zone/aW1hZ2UvNDk2LzI4MDEyMi5wbmc=/315x250%23c/O6ZeNG.png,"Ninjas, failure, and player investment manipulation."
17,Alien Life Lab,,496442,https://devy-games.itch.io/alienlifelab,29,https://img.itch.zone/aW1nLzM3NTQzMDgucG5n/315x250%23c/n5%2BVpQ.png,Capture Aliens and Try to Stay Alive. Procedurally Generated Levels.
53,Best Garden,,153593,https://lparkermg.itch.io/best-garden,30,https://img.itch.zone/aW1hZ2UvMTUzNTkzLzc0ODIwNC5wbmc=/315x250%23c/VvyAWm.png,Can you make the Best Garden?!?
10,Silver Grapple,,128115,https://jamie-rollo.itch.io/silver-grapple,31,https://img.itch.zone/aW1hZ2UvMTI4MTE1Lzc5OTU4NS5naWY=/315x250%23c/hN8SGZ.gif,A fast paced platformer about swinging through the air at the speed of sound!
28,Location Withheld,,344929,https://bryce-bucher.itch.io/location-withheld,32,https://img.itch.zone/aW1nLzE3MTE2NjcucG5n/315x250%23c/2D1ig9.png,A short horror in which you find yourself in an unfamiliar office...
12,Zenodyne R,,69388,https://jackdarx.itch.io/zenodyne-r,33,https://img.itch.zone/aW1hZ2UvNjkzODgvMzE2NDgzLnBuZw==/315x250%23c/URfMgr.png,90s 16-bit YM2612 Shooter Strikes Back!
54,Super Snake 3D,,496872,https://arbigaus.itch.io/super-snake-3d,34,https://img.itch.zone/aW1nLzI1Njc5NzUucG5n/315x250%23c/0apEid.png,"A new take on the classic Snake. Eat, increase and get faster!"
26,Cuckoo Castle,,33700,https://rilem.itch.io/cuckoo-castle,35,https://img.itch.zone/aW1hZ2UvMzM3MDAvMTQ1MDIxLmdpZg==/315x250%23c/NBjbox.gif,A mini-metroidvania.
13,Attrition: Tactical Fronts,,119667,https://cardboardkeep.itch.io/attrition,36,https://img.itch.zone/aW1hZ2UvMTE5NjY3LzY4MzUzMy5wbmc=/315x250%23c/xJhApE.png,Turn- and hex-based 5 minute strategy game for 1 or 2 players.
30,Golden Treasure: The Great Green,,392888,https://dreaming-door.itch.io/gt1,37,https://img.itch.zone/aW1nLzIyMjgxNzUucG5n/315x250%23c/nhkDhu.png,"A game about the dragon within us all. Become Draak, and rejoice."
48,A Magical Tale: Cavern Crawler,,172363,https://darklightgames.itch.io/cavern-crawler,38,https://img.itch.zone/aW1nLzI0MTk5MzQucG5n/315x250%23c/5IZXup.png,Begin your cavern crawl here.
58,Oath of the Ambling Rose,,649837,https://birdhouse-games.itch.io/amblingrose,39,https://img.itch.zone/aW1nLzM0ODUwOTQucG5n/315x250%23c/kpwq36.png,A paladin that takes their time.
56,Cubefall,,118257,https://cavvvalry.itch.io/cubefall,40,https://img.itch.zone/aW1hZ2UvMTE4MjU3LzU0NTcwNS5wbmc=/315x250%23c/w788Eu.png,Rotational Row-Clearing Action!
43,Chimpology,,78751,https://themorfeus.itch.io/chimpology,41,https://img.itch.zone/aW1hZ2UvNzg3NTEvMzY4NTQwLnBuZw==/315x250%23c/71KZeF.png,"Internet was slow, because monkeys."
23,Pet the Pup at the Party,,167714,https://grey2scale.itch.io/pet-the-pup,42,https://img.itch.zone/aW1hZ2UvMTY3NzE0Lzc3NjkzMC5naWY=/315x250%23c/TLceOi.gif,you are at a house party. you do not know anybody. the clock is ticking... can you find the pup at the party??
51,Danger Zone Friends,,361033,https://alchiggins.itch.io/danger-zone-friends,43,https://img.itch.zone/aW1nLzE4MDUzMzUuZ2lm/315x250%23c/DM5xu3.gif,Grocery Run JRPG
40,Rock n' Rush: Battle Racing,,266817,https://wsmgamestudio.itch.io/rock-n-rush-battle-racing,44,https://img.itch.zone/aW1nLzIzOTMxNTMuanBn/315x250%23c/vVgT82.jpg,Rock n' Rush its a Multiplayer Combat Racing Game inspired by the 90's classics.
1,WitchWay,,93543,https://gleeson.itch.io/witchway,45,https://img.itch.zone/aW1nLzE4NjIyMDUuZ2lm/315x250%23c/t5ZSBd.gif,A cute adventure full of puzzles!
39,Nest Lander,,228835,https://clockwork-hippo.itch.io/nest-lander,46,https://img.itch.zone/aW1hZ2UvMjI4ODM1LzEyODQwNjgucG5n/315x250%23c/6Rupgk.png,Physics based flight skillful gameplay. FREE demo available
7,The Away Team,,86573,https://underflow-studios.itch.io/the-away-team,47,https://img.itch.zone/aW1nLzE1ODA4ODIucG5n/315x250%23c/LLXPgR.png,"In this interactive sci-fi adventure novel, you are the AI pilot of Earth's last interstellar ship."
56,Nuvoloso,,426246,https://cloudyo.itch.io/nuvoloso,48,https://img.itch.zone/aW1nLzM0NjQwNjcucG5n/315x250%23c/wHMHS4.png,A free Casual Arcade game where you look at a sky full of clouds.
50,To Be a HerpWitch,,410956,https://dragons-but-also-rabbits.itch.io/to-be-a-herpwitch,49,https://img.itch.zone/aW1nLzIwNDM1MDUucG5n/315x250%23c/R9%2FGNi.png,Every HerpWitch needs a familizard.
7,Ganbare! Super Strikers,,198681,https://rese.itch.io/ganbare-super-strikers,50,https://img.itch.zone/aW1hZ2UvMTk4NjgxLzkyOTQzMS5wbmc=/315x250%23c/WsdyV5.png,"A Turn Based Tactical RPG Soccer Game for Windows, macOS and Linux developed by rese."
55,The Deer God,,15049,https://marumari.itch.io/the-deer-god,51,https://img.itch.zone/aW1hZ2UvMTUwNDkvNTI3ODQucG5n/315x250%23c/sgIv7Y.png,A beautiful 3d pixel art game about reincarnation and karma.
45,Boom Boom Bovine,,439600,https://wonderthing.itch.io/boom-boom-bovine,52,https://img.itch.zone/aW1nLzIyMDk0MzAucG5n/315x250%23c/vqYMU3.png,An explosive arcade game about a farting cow!
17,Indiepocalypse #4,,613848,https://pizzapranks.itch.io/indiepocalypse-4,53,https://img.itch.zone/aW1nLzMyNjU5NzAuanBn/315x250%23c/28%2BaLj.jpg,Issue #4 of a monthly indie game anthology collecting games from 10 developers.
2,Diaries of a Spaceport Janitor,,85289,https://tinybuild.itch.io/diaries-of-a-spaceport-janitor,54,https://img.itch.zone/aW1hZ2UvODUyODkvNDA0MDQzLmdpZg==/315x250%23c/UgqDIX.gif,Diaries of a Spaceport Janitor is an anti-adventure game about picking up trash in an alien bazaar.
15,reky,,316366,https://beyondthosehills.itch.io/reky,55,https://img.itch.zone/aW1nLzI2MjUzNDEucG5n/315x250%23c/DKru7F.png,Minimalistic logic challenges
40,Figment,Other,662745,https://leefy.itch.io/figment,56,https://img.itch.zone/aW1nLzM1NzAyNDYucG5n/315x250%23c/Qhxm8B.png,"✨ Inspired by Neopets, we offer a fantasy pet + avatar dress-up browser game with vibrant lore & customized artwork."
37,Perpetuum Mobile,,223477,https://petrus.itch.io/perpetuum-mobile,57,https://img.itch.zone/aW1nLzI2Nzc0ODAucG5n/315x250%23c/Z9MCG6.png,a infinite flyer in vector style
1,BEACON,,238392,https://monothetic.itch.io/beacon,58,https://img.itch.zone/aW1nLzE4MjE0MjUuanBn/315x250%23c/0KPeWb.jpg,Sci-fi Action Roguelite. Collect DNA from enemies and mutate yourself to victory!
19,Deeper Into Space,,194668,https://jeremy-roberts.itch.io/deeper-into-space,59,https://img.itch.zone/aW1nLzM4MDQ0MzMucG5n/315x250%23c/X%2FqJKT.png,"A 2D physics based space survival/shooter, with rogue-like elements"
57,Sushi Master VR -  寿司職人VR -,,336666,https://menonon.itch.io/sushi-master-vr,60,https://img.itch.zone/aW1nLzE2Njk0NTMucG5n/315x250%23c/WU3aEE.png,
54,INDECT,,611475,https://worstconcept.itch.io/indect,61,,"""For the Insecurity of Citizens"" | a WIP dystopian cyberpunk platformer"
2,Babysitter Bloodbath,,107080,https://puppetcombo.itch.io/babysitter-bloodbath,62,https://img.itch.zone/aW1hZ2UvMTA3MDgwLzQ5Nzk0OC5naWY=/315x250%23c/3PzrYF.gif,"A simple night of babysitting turns into an unspeakable nightmare.. VHS era, low poly slasher. PS1 style survival horror"
23,Nonsense at Nightfall,,255412,https://siegfriedcroes.itch.io/nonsense-at-nightfall,63,https://img.itch.zone/aW1nLzE3MjI2OTIuZ2lm/315x250%23c/hAp4OG.gif,One night you can't sleep and decide to take a sleeping pill. What happens next is unexpected...
54,The Political Compass: Devil's Labyrinth,,453495,https://majestic12.itch.io/the-political-compass-deaths-labyrinth,64,https://img.itch.zone/aW1nLzIyOTk1OTguZ2lm/315x250%23c/C5%2Frws.gif,See where you fall on the political compass spectrums
6,EAT GIRL,,444443,https://tesselode.itch.io/eatgirl,65,https://img.itch.zone/aW1nLzI0ODM1NjMuZ2lm/315x250%23c/kDWJnz.gif,Surreal top-down dot-eating game
28,Keep It Together,,106534,https://fenreliania.itch.io/keep-it-together,66,https://img.itch.zone/aW1hZ2UvMTA2NTM0LzY0MjU5NC5wbmc=/315x250%23c/krCJST.png,Don't let them know you're a coat of rats!
19,Winterlore I,,474283,https://moroisprings.itch.io/zestre,67,https://img.itch.zone/aW1nLzM0NDc0NjIucG5n/315x250%23c/GIjglb.png,a folkloric mystery adventure
41,Clouds of Fire: Blazing Skies,,397045,https://aaronmakesgames.itch.io/clouds-of-fire,68,https://img.itch.zone/aW1nLzI1MzUzODQuZ2lm/315x250%23c/uI3BWW.gif,Complete Chaos in this Shoot-em up meets Rouge-like with Physics!
51,Xander the Monster Morpher: Universe Breaker,,363662,https://karatkuro.itch.io/xander-the-monster-morpher-universe-breaker,69,https://img.itch.zone/aW1nLzIyNTE2MjMucG5n/315x250%23c/AjFFm4.png,Catch Monsters and fuse them together in Bullet-Hell combat!
36,Giant's Chalice,,272751,https://avknights.itch.io/giants-chalice,70,https://img.itch.zone/aW1nLzE4MTk5NzgucG5n/315x250%23c/vpAWod.png,Explore and battle monsters in a magical world
55,Terri-Fried,,620378,https://polymars.itch.io/terri-fried,71,https://img.itch.zone/aW1nLzM2MDM1NDAucG5n/315x250%23c/nj5Arb.png,Save humanity!
9,Parallax,,20652,https://toastygames.itch.io/parallax,72,https://img.itch.zone/aW1hZ2UvMjA2NTIvODEzODAucG5n/315x250%23c/5MV9g9.png,The Interdimensional Puzzle Platformer
58,Lucid Awakening 2,,667386,https://momijistudios.itch.io/lucid-awakening-2,73,https://img.itch.zone/aW1nLzM2MTM5OTYucG5n/315x250%23c/%2FRgPAK.png,"Full length RPG with unique ""Dual Soul"" class / battle system, original mythology and story, and lovable characters."
16,Skeletris,,446484,https://ghastly.itch.io/skeletris,74,https://img.itch.zone/aW1nLzI5MDkwMzguZ2lm/315x250%23c/C%2Br%2Fo1.gif,A casual roguelike with Tetris vibes
42,Sorbetta: Gravely in Debt,,556511,https://uap.itch.io/sorbetta-gravely-in-debt,75,https://img.itch.zone/aW1nLzI5NTcxMzMucG5n/315x250%23c/DknEaK.png,A comedy RPG about a necromancer paying off her gambling debts.
57,Space Mining Clicker,,469971,https://cold-coffee-studio.itch.io/space-mining-clicker,76,https://img.itch.zone/aW1nLzI0MDQxOTMuanBn/315x250%23c/yFNKWA.jpg,"Welcome Director, manage your mining facility and survive to the geopolitical storm opposing the galactic factions."
16,Refactor,,155962,https://fluffy.itch.io/refactor,77,https://img.itch.zone/aW1hZ2UvMTU1OTYyLzcxNTU1NS5wbmc=/315x250%23c/IkfgC6.png,An album of games [WORK IN PROGRESS]
11,PALACE OF WOE,,437264,https://owch.itch.io/palace-of-woe,78,https://img.itch.zone/aW1nLzI2NjQzMzguZ2lm/315x250%23c/ycx%2F%2Fq.gif,sort your self out
58,mr mayor tells your fortune recounts a story and offers you snacks,,392429,https://dicey.itch.io/mr-mayor,79,https://img.itch.zone/aW1nLzE5NDM0MjUuZ2lm/315x250%23c/v3NblD.gif,have a nice time with Mr Mayor
39,"Drones, The Human Condition",,13048,https://blunt.itch.io/drones-blast-arenas,80,https://img.itch.zone/aW1hZ2UvMTMwNDgvNDI4MjQ3LnBuZw==/315x250%23c/xjlWWR.png,
15,Zone of Lacryma,,117361,https://oophok.itch.io/zoneoflacryma,81,https://img.itch.zone/aW1nLzM1OTYyNTUuZ2lm/315x250%23c/YeHGMb.gif,A story driven vertical shmup.
29,Dis Pontibus,,177845,https://marcosd.itch.io/dispontibus,82,https://img.itch.zone/aW1nLzE3MTkwNzAucG5n/315x250%23c/T07Ifr.png,"A minimalist, yet deep, procedurally generated puzzle game."
30,Possession,,32135,https://weirdfellows.itch.io/possession,83,https://img.itch.zone/aW1nLzIyMTQ3MjUucG5n/315x250%23c/C7%2B9DT.png,A turn-based traditional roguelike where you play as a ghost who can possess other creatures in the dungeon.
19,PICO-8,Tool,265970,https://lexaloffle.itch.io/pico-8,84,https://img.itch.zone/aW1hZ2UvMjY1OTcwLzEyODE3NzcucG5n/315x250%23c/TVO1pA.png,"A fantasy console for making, playing and sharing cute 32k cartridges."
18,Super HelmKnight,,254543,https://sralbertooo.itch.io/super-helmknight,85,https://img.itch.zone/aW1hZ2UvMjU0NTQzLzEyNTc5NzgucG5n/315x250%23c/vvHHOF.png,Travel across Helmland to take it back!
11,Curse of the Crescent Isle DX,,33467,https://1amowery.itch.io/curse-of-the-crescent-isle-dx,86,https://img.itch.zone/aW1hZ2UvMzM0NjcvMTQ1MzIxLnBuZw==/315x250%23c/eXZoD5.png,Save your kingdom!
13,Nepenthe,,174401,https://yitzilitt.itch.io/nepenthe,87,https://img.itch.zone/aW1hZ2UvMTc0NDAxLzg1MjQ1NS5wbmc=/315x250%23c/Z7%2F8Uv.png,You wake up with no memory. Your day is starting off great!
58,Fossil Echo,,668542,https://awaceb.itch.io/fossilecho,88,https://img.itch.zone/aW1nLzM2Mjc1NDAucG5n/315x250%23c/%2B4J466.png,A story driven platformer about a boy and his journey to climb a giant tower.
2,Micro Mages,,415749,https://morphcatgames.itch.io/micromages,89,https://img.itch.zone/aW1nLzM2NDg3NjgucG5n/315x250%23c/nWTepk.png,A platformer developed for the NES. Now available on PC! ROM included. Play solo or with up to 4 players simultaneously.
12,Little Bug (full version),,308907,https://belamessex.itch.io/littlebug,90,https://img.itch.zone/aW1hZ2UvMzA4OTA3LzE1MTczMjQuZ2lm/315x250%23c/Sct75X.gif,A twin stick platformer about a girl lost in a surreal spirit world
41,Over Run,,483975,https://blazingsword.itch.io/over-run,91,https://img.itch.zone/aW1nLzI1MDg4NjcuanBn/315x250%23c/onNWUH.jpg,How many can you save?
26,Order A Pizza: A Visual Novel,,397006,https://rocketadrift.itch.io/order-a-pizza,92,https://img.itch.zone/aW1nLzE5NjcyNzIuanBn/315x250%23c/jrbcK2.jpg,A visual novel where you play as a divorced dad trying to order the perfect pizza.
56,I See You,,19671,https://catoverlord.itch.io/i-see-you,93,https://img.itch.zone/aW1hZ2UvMTk2NzEvNzYzNTEucG5n/315x250%23c/brk5%2FB.png,
4,SAI,,630457,https://studiomutiny.itch.io/sai,94,https://img.itch.zone/aW1nLzMzOTQ3MTAuZ2lm/315x250%23c/QZ9u1c.gif,Stop the machines. Save the forest.
25,"Electric Zine Maker (a work in progress, be gentle, hug it often)",Tool,417793,https://alienmelon.itch.io/electric-zine-maker,95,https://img.itch.zone/aW1nLzIwNzkxNTcuZ2lm/315x250%23c/pmUVGO.gif,The Electric Zine Maker (⚡️📝✂️) is a printshop and art tool for making zines.
19,A Game of Changes,,58623,https://nunodonato.itch.io/a-game-of-changes,96,https://img.itch.zone/aW1hZ2UvNTg2MjMvMjc1OTYxLnBuZw==/315x250%23c/4%2FU9U6.png,
9,Legend of Hand,,178735,https://shaun9991.itch.io/legend-of-hand,97,https://img.itch.zone/aW1nLzM2MTIxOTEucG5n/315x250%23c/uPYhrm.png,"An epic quest, inspired by point & click adventure classics, Far-East legends & beat em up games of the 80's!"
21,Toto Temple Deluxe,,11215,https://juicybeast.itch.io/toto-temple-deluxe,98,https://img.itch.zone/aW1hZ2UvMTEyMTUvMTgxNzczLmdpZg==/315x250%23c/AmQVbx.gif,A frenzied multiplayer party game about colorful characters battling for an egg-laying goat!
7,Rebop Blasters,,304124,https://dean-sick.itch.io/rebop-blasters,99,https://img.itch.zone/aW1nLzIwMzMwMzAuZ2lm/315x250%23c/CyYpoN.gif,An overpowered platform fighter with destructible terrain and a procedurally generated jazz soundtrack.
15,Cope Island: Adrift,,415606,https://zds.itch.io/cope-island-adrift,100,https://img.itch.zone/aW1nLzIwNjgyMDMucG5n/315x250%23c/54LYit.png,A paradise of self-improvement.
24,Fidelity,Web,303062,https://megamini009.itch.io/fidelity,101,https://img.itch.zone/aW1nLzE5MDQ1NjkuZ2lm/315x250%23c/Bbxgy1.gif,"An atmospheric puzzle game based around losing touch with reality,"
21,Emberlight,,467541,https://quarteronion.itch.io/emberlight,102,https://img.itch.zone/aW1nLzIzODc1NDAucG5n/315x250%23c/CnXpcZ.png,A true roguelite dungeon crawler set in a world where the Gods have given you a great gift - and a great curse.
20,Graveyard Shift,,94490,https://aslangames.itch.io/graveyard-shift,103,https://img.itch.zone/aW1hZ2UvOTQ0OTAvNDQyNjQ3LmpwZw==/315x250%23c/opWEnZ.jpg,Spooky & cute FPS!
9,IMMURE,,297201,https://witherstudios.itch.io/immure,104,https://img.itch.zone/aW1hZ2UvMjk3MjAxLzE0NTE5MzMucG5n/315x250%23c/rwIjCi.png,Inescapable Horror
5,Old Man's Journey,,144873,https://brokenrules.itch.io/old-mans-journey,105,https://img.itch.zone/aW1hZ2UvMTQ0ODczLzY2NDEyMy5naWY=/315x250%23c/6m9sBP.gif,"A game about life, loss and hope."
24,Luna's Wandering Stars,,97101,https://serenity-forge.itch.io/lunas-wandering-stars,106,https://img.itch.zone/aW1hZ2UvOTcxMDEvNDU0NDA3LmpwZw==/315x250%23c/Hpz5dC.jpg,A space puzzle game that challenges you to master the physics of the universe.
7,NEXT JUMP: Shmup Tactics,,120121,https://postmortempixels.itch.io/nextjump,107,https://img.itch.zone/aW1nLzM2MDgwNDkucG5n/315x250%23c/u7Do8t.png,"NEXT JUMP is a turn-based, tactics Shoot 'em up for people who are bad at SHMUPs, but love them."
22,Catacombs 1: Demon War,,168500,https://simprosestudios.itch.io/catacombs-1,108,https://img.itch.zone/aW1hZ2UvMTY4NTAwLzc4MDk1NS5qcGc=/315x250%23c/2M035O.jpg,A unique RPG/Adventure with randomized items and a gripping storyline.
54,Scratch's Sc0re: Hellish Descent,,624802,https://ninjahell.itch.io/hellish-descent,109,https://img.itch.zone/aW1nLzMzMjg3MTEucG5n/315x250%23c/YVlIRE.png,More Damned Cards for Old Scratch's Favorite Game
8,LYNE,,674,https://thomasbowker.itch.io/lyne,110,https://img.itch.zone/aW1hZ2UvNjc0LzMyMjcucG5n/315x250%23c/YxP6US.png,"Steam Key + DRM Free Android, Windows, Mac, Linux."
3,PAGAN: Autogeny,,303420,https://oleandergarden.itch.io/pagan3,111,https://img.itch.zone/aW1nLzIzOTEwMzIucG5n/315x250%23c/AOzUm7.png,Adventures in a Dead MMO
55,Detective Bot,,557970,https://ssgames.itch.io/detective-bot,112,https://img.itch.zone/aW1nLzMxNjg5MDguanBn/315x250%23c/dPuSV1.jpg,Detective Bot is a silly physics based detective game which you can play on your own or in co-op with up to 4 players.
54,El Interrogatorio,,245679,https://twinedoctors.itch.io/el-interrogatorio,113,https://img.itch.zone/aW1hZ2UvMjQ1Njc5LzExNzM0NDMucG5n/315x250%23c/raooOL.png,Ha llegado un nuevo caso a la comisaría y debes interrogar al principal sospechoso.
37,Nigel,,251222,https://nolski.itch.io/nigel,114,https://img.itch.zone/aW1hZ2UvMjUxMjIyLzEyMDU4MTYucG5n/315x250%23c/uqOVxh.png,"Single player, bird game, puzzle experience"
47,down.,,160051,https://pixelbark.itch.io/down,115,,"A short, somber, narrative experience about depression and anxiety"
12,Luna,,271280,https://funomena.itch.io/luna,116,https://img.itch.zone/aW1hZ2UvMjcxMjgwLzEzMTcyNDgucG5n/315x250%23c/VnRYlr.png,A game about forgiveness
26,Whipped And Steamy • Cosplay Café,,378248,https://whalesandgames.itch.io/whipped-and-steamy,117,https://img.itch.zone/aW1nLzE5NzAxNTguZ2lm/315x250%23c/aCDUAA.gif,In a town where adult media is the new best thing the Whipped and Steamy Café is the best fun for all cosplayers!
8,Bleed,,99668,https://bootdiskrevolution.itch.io/bleed,118,https://img.itch.zone/aW1hZ2UvOTk2NjgvNDY1NjIyLnBuZw==/315x250%23c/XWc9zs.png,"Air-dodge, slow-time and blast baddies in this twin-skick action-platformer!"
54,Breakout Poetry,Web,637999,https://johan-holm.itch.io/breakout-poetry,119,https://img.itch.zone/aW1nLzM0MTI4MTkucG5n/315x250%23c/7nLmyv.png,Breakout ... with poetry!
28,TICKET,,40175,https://magicdweedoo.itch.io/ticket,120,https://img.itch.zone/aW1hZ2UvNDAxNzUvMzY2MTQzLmpwZw==/315x250%23c/Pr3h8W.jpg,shoe game
14,HEADLINER,,455714,https://unboundcreations.itch.io/headliner,121,https://img.itch.zone/aW1nLzIzMTQwMzQucG5n/315x250%23c/MT2Cia.png,"Short adventure where you are a News Editor deciding what to publish, in a genetically-modified society."
17,Doodle Date,,553490,https://nicklives.itch.io/doodle-date,122,https://img.itch.zone/aW1nLzI4OTcyMTgucG5n/315x250%23c/L6BiMJ.png,"Date your own drawings! Forget about finding true love; In Doodle Date, you create it!"
36,Bold Blade,,216142,https://ultrarunaway.itch.io/bold-blade,123,https://img.itch.zone/aW1hZ2UvMjE2MTQyLzEwMjkwMjkuZ2lm/315x250%23c/gLP8o0.gif,the bitesize pixel art action RPG where your sword keeps getting bigger!
16,Fateful Lore,,630046,https://fantaseel.itch.io/fateful-lore,124,https://img.itch.zone/aW1nLzMzNjIwNjgucG5n/315x250%23c/s%2FfBKp.png,"A retro-inspired, 8-bit RPG for mobile devices!"
